Autor_Canonico,Sigla
João Eduardo Montandon,CTD
Marco Túlio Valente,CTD
Vinícius L. de Lima,CTD
Thiago A. de Queiroz,CTD
Flávio K. Miyazawa,CTD
Janio Carlos Nascimento Silva,CTD
Uéverton dos Santos Souza,CTD
Luiz Satoru Ochi,CTD
Lucas Correia Ribas,CTD
Odemir Martinez Bruno,CTD
Allan M. de Souza,CTD
Leandro A. Villas,CTD
Thiago Porcino,CTD
Daniela Trevisan,CTD
Esteban Clua,CTD
Gabriel H. Nunes,CTD
Mário S. Alvim,CTD
Annabelle McIver,CTD
Aldênio Burgos,CTD
Eduardo Alchieri,CTD
Gabriel P. Oliveira,CTD
Anisio Lacerda,CTD
Mirella M. Moro,CTD
Christian Gomes,CTD
Leonardo Rocha,CTD
Marcos Gonçalves,CTD
Ricardo B. Grando,CTD
Paulo L. J. Drews-Jr,CTD
Eduarda T. C. Chagas,CTD
Heitor S. Ramos,CTD
Alejandro C. Frery,CTD
Gabriel Siqueira,CTD
Andre Rodrigues Oliveira,CTD
Zanoni Dias,CTD
Gabriel Ammes Pinho,CTD
Renato P. Ribas,CTD
Felipe de C. Pereira,CTD
Pedro J. de Rezende,CTD
Cid C. de Souza,CTD
Michael Canesche,CTD
Ricardo Ferreira,CTD
Eduardo Henrique Monteiro Pena,CTD
Eduardo Cunha de Almeida,CTD
Wagner I. Penny,CTD
Daniel M. Palomino,CTD
Marcelo S. Porto,CTD
Bruno Zatt,CTD
Jônatas Wehrmann,CTD
Rodrigo C. Barros,CTD
Tanilson D. Santos,CTD
Jayme L. Szwarcfiter,CTD
Uéverton S. Souza,CTD
Claudson Bornstein,CTD
Artur Jordão Lima Correia,CTD
William Robson Schwartz,CTD
Julio C. S. Reis,CTD
Fabrício Benevenuto,CTD
Gleison Souza Diniz Mendonça,CTD
Fernando Magno Quintão Pereira,CTD
Matheus Guedes de Andrade,CTD
Franklin de L. Marquezino,CTD
Daniel Ratton Figueiredo,CTD
Pablo Carvalho,CTD
Lúcia Maria de A. Drummond,CTD
Cristiana Bentes,CTD
Eduardo P. M. Câmara Júnior,CTD
Luiz F. M. Vieira,CTD
Marcos A. M. Vieira,CTD
Rafael Anicet Zanini,CTD
Esther Luna Colombini,CTD
Marleson Graf,CTD
Luiz C. V. dos Santos,CTD
Bruno Pasqualotto Cavalar,CTD
Yoshiharu Kohayakawa,CTD
João P. M. Ferreira,CTD
Renato Martins,CTD
Erickson R. Nascimento,CTD
Matheus J. Ota,CTD
Flávio K. Miyazawa,CTD
Phablo F. S. Moura,CTD
Alexander Decker de Souza,CTD
Luiz Filipe Menezes Vieira,CTD
Marcos Augusto Menezes Vieira,CTD
Felipe Leno da Silva,CTD
Anna Helena Reali Costa,CTD
Diego P. Rubert,CTD
Jens Stoye,CTD
Fábio H. V. Martinez,CTD
Estêvão Bissoli Saleme,CTD
Celso Alberto Saibel Santos,CTD
George Ghinea,CTD
Marcelo Brandalero,CTD
Luigi Carro,CTD
Antonio Carlos Schneider Beck,CTD
Michel M. Silva,CTD
Mario F. M. Campos,CTD
Erickson R. Nascimento,CTD
Toni I. Wickert,CTD
Luciana S. Buriol,CTD
Abner M. C. Araújo,CTD
Manuel M. Oliveira Neto,CTD
Marcos H. Backes,CTD
Manuel M. Oliveira Neto,CTD
Marcos Yukio Siraichi,CTD
Fernando Magno Quintão Pereira,CTD
Vinicius F. Santos,CTD
Caroline Collange,CTD
Ygor Rebouças Serpa,CTD
Maria Andréia Formico Rodrigues,CTD
Lucas Pascotti Valem,CTD
Daniel Carlos Guimarães Pedronette,CTD
Rodrigo Azevedo Santos,CTD
Aline Paes,CTD
Gerson Zaverucha,CTD
Rayson Laroca,CTD
David Menotti,CTD
Manoel Horta Ribeiro,CTD
Virgílio A. F. Almeida,CTD
Wagner Meira Jr,CTD
Alesom Zorzi,CTD
Celina M. H. de Figueiredo,CTD
Raphael C. S. Machado,CTD
Laís M. A. Rocha,CTD
Mirella M. Moro,CTD
Juliana Freire,CTD
Gabriel O. Ramos,CTD
Ana L. C. Bazzan,CTD
Bruna A. da Silva,CTD
Thiago Gouveia da Silva,CTD
Ramon Pires,CTD
Anderson Rocha,CTD
Jacques Wainer,CTD
Eduardo K. Viegas,CTD
Altair O. Santin,CTD
Daniel Xavier de Sousa,CTD
Marcos André Gonçalves,CTD
Leandro M. Zatesko,CTD
Renato Carmo,CTD
André L. P. Guedes,CTD
Hugo Sadok,CTD
Miguel Elias M. Campista,CTD
Luis Henrique M. K. Costa,CTD
Samuel M. A. Araújo,CTD
Geraldo R. Mateus,CTD
Fernanda S. H. de Souza,CTD
Nicollas M. Sdroievski,CTD
Murilo V. G. da Silva,CTD
André L. Vignatti,CTD
Zanoni Dias,CTD
Marcos Roberto e Souza,CTD
Helio Pedrini,CTD
Anderson Lemos,CTD
Vinicius F. Santos,CTD
Olga Goussevskaia,CTD
Bruno Henrique Ribeiro da Fonseca,CTD
Douglas Silva Domingues,CTD
Alexandre Rossi Paschoal,CTD
Jorge A. Wagner Filho,CTD
