Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Alex Calado,Homem,Ricardo Souza,Homem,1
Alexandre Aragão,Homem,Ariel Teles,Homem,1
Alexandre Aragão,Homem,Arlindo da Conceição,Homem,1
Alexandre Aragão,Homem,Davi Viana,Homem,1
Alexandre Aragão,Homem,Francisco A. Silva,Homem,1
Alexandre Aragão,Homem,Inaldo Costa,Homem,1
Alexandre Aragão,Homem,Luis Rivero,Homem,1
Alexandre Aragão,Homem,Tercio Sousa,Homem,1
Alexandre Costa,Homem,Bruno Pereira,Homem,1
Alexandre Costa,Homem,Francisco Henrique Ferreira,Homem,1
Alexandre Costa,Homem,Marcio Imamura,Homem,1
Alexandre Costa,Homem,Rodrigo Pereira dos Santos,Homem,1
Alexandre L'erario,Homem,Renata Marques Barros,Mulher,1
Alexandre L'erario,Homem,William Simão de Deus,Homem,1
Alexandre Marcos Lins de Vasconcelos,Homem,Elisiane Monteiro Soares,Mulher,1
Alexandre Marcos Lins de Vasconcelos,Homem,Melquizedeque Cabral dos Santos,Homem,1
Alexandre Marcos Lins de Vasconcelos,Homem,Sandro Ronaldo Bezerra Oliveira,Homem,1
Aline Sousa,Mulher,Natasha Valentim,Mulher,1
Allysson Allex Araújo,Homem,Ariádna Miranda,Mulher,1
Allysson Allex Araújo,Homem,Emanuel Coutinho,Homem,1
Allysson Allex Araújo,Homem,Jerffeson Souza,Homem,1
Amanda Rodrigues,Mulher,Juliana Saraiva,Mulher,1
Amanda Rodrigues,Mulher,Vanessa Dantas,Mulher,1
Ana Santos,Mulher,Ricardo Souza,Homem,1
Anderson Afonso,Homem,Luciana Chueri,Mulher,1
Anderson Afonso,Homem,Mariana Pinheiro,Mulher,1
Anderson Afonso,Homem,Mateus Lambranho Ramos,Homem,1
Anderson Afonso,Homem,Rodrigo Pereira dos Santos,Homem,1
Andrew L. Fontão,Homem,Arilo Claudio Dias-Neto,Homem,1
Andrew L. Fontão,Homem,Bruno Araujo Bonifácio,Homem,1
Andrew L. Fontão,Homem,Bruno Pedraça de Souza,Homem,1
Andrew L. Fontão,Homem,Priscila Silva Fernandes,Mulher,1
André Pinheiro,Homem,Caio Rabello,Homem,1
André Pinheiro,Homem,Cleidson Souza,Homem,1
André Pinheiro,Homem,Gustavo Pinto,Homem,1
André Pinheiro,Homem,Leonardo Furtado,Homem,1
Anna Beatriz Marques,Mulher,Gabriel Aires,Homem,1
Anna Paula de A. Lande,Mulher,Elias Canhadas Gengivir,Homem,1
Anna Paula de A. Lande,Mulher,Rebeca Teodoro da Silva,Mulher,1
Ariel Teles,Homem,Arlindo da Conceição,Homem,1
Ariel Teles,Homem,Davi Viana,Homem,1
Ariel Teles,Homem,Francisco A. Silva,Homem,1
Ariel Teles,Homem,Inaldo Costa,Homem,1
Ariel Teles,Homem,Luis Rivero,Homem,1
Ariel Teles,Homem,Tercio Sousa,Homem,1
Arilo Claudio Dias-Neto,Homem,Bruno Araujo Bonifácio,Homem,1
Arilo Claudio Dias-Neto,Homem,Bruno Pedraça de Souza,Homem,1
Arilo Claudio Dias-Neto,Homem,Priscila Silva Fernandes,Mulher,1
Arilo Claudio Dias-Neto,Homem,Rodrigo Santos,Homem,1
Arison Heltami Rodrigues Uchoa,Homem,Emanuel Coutinho,Homem,1
Ariádna Miranda,Mulher,Emanuel Coutinho,Homem,1
Ariádna Miranda,Mulher,Jerffeson Souza,Homem,1
Arlindo da Conceição,Homem,Davi Viana,Homem,1
Arlindo da Conceição,Homem,Francisco A. Silva,Homem,1
Arlindo da Conceição,Homem,Inaldo Costa,Homem,1
Arlindo da Conceição,Homem,Luis Rivero,Homem,1
Arlindo da Conceição,Homem,Tercio Sousa,Homem,1
Barbara Ramos,Mulher,Leonardo Gargano,Homem,1
Barbara Ramos,Mulher,Marcelo Fornazin,Homem,1
Bruno Araujo Bonifácio,Homem,Bruno Pedraça de Souza,Homem,1
Bruno Araujo Bonifácio,Homem,Priscila Silva Fernandes,Mulher,1
Bruno Pedraça de Souza,Homem,Priscila Silva Fernandes,Mulher,1
Bruno Pereira,Homem,Francisco Henrique Ferreira,Homem,1
Bruno Pereira,Homem,Marcio Imamura,Homem,1
Bruno Pereira,Homem,Rodrigo Pereira dos Santos,Homem,1
Caio Rabello,Homem,Cleidson Souza,Homem,1
Caio Rabello,Homem,Gustavo Pinto,Homem,1
Caio Rabello,Homem,Leonardo Furtado,Homem,1
Carla I. M Bezerra,Mulher,Emanuel Coutinho,Homem,1
Carla I. M Bezerra,Mulher,Italo de Oliveira,Homem,1
Carla K. de M. Marques,Mulher,Francisca Aparecida P. Pinto,Mulher,1
Carla K. de M. Marques,Mulher,Henrique J. A. Holanda,Homem,1
Christiane Pereira,Mulher,Everton Oliveira,Homem,1
Christiane Pereira,Mulher,Henrique Ferreira,Homem,1
Christiane Pereira,Mulher,Joelson Araújo,Homem,1
Christiane Pereira,Mulher,Patricia Moser,Mulher,1
Christina von Flach Chavez,Mulher,Eduardo Santana de Almeida,Homem,1
Christina von Flach Chavez,Mulher,John D. McGregor,Homem,1
Christina von Flach Chavez,Mulher,Simone da Silva Amorin,Mulher,1
Cinthya Cavalcanti,Mulher,José Junior,Homem,1
Cinthya Cavalcanti,Mulher,João Pimentel,Homem,1
Cinthya Cavalcanti,Mulher,Maria Lencastre,Mulher,1
Cinthya Cavalcanti,Mulher,Tainã Santos,Mulher,1
Cinthya Cavalcanti,Mulher,Timóteo Silva,Homem,1
Claudio Penteado,Homem,Daniel P. Astone,Homem,1
Claudio Penteado,Homem,Jerônimo Pellegrini,Homem,1
Claudio Penteado,Homem,Murilo B. Machado,Homem,1
Claudio Penteado,Homem,Paulo R. de Sousa,Homem,1
Claudio Penteado,Homem,Rodolfo S. Avelino,Homem,1
Claudio Penteado,Homem,Sérgio Amadeu da Silveira,Homem,1
Cleidiane Nunes,Mulher,Ivaldir Júnior,Homem,1
Cleidson Souza,Homem,Gustavo Pinto,Homem,1
Cleidson Souza,Homem,Leonardo Furtado,Homem,1
Críssia Marcelino,Mulher,Francisco Nascimento,Homem,1
Daniel P. Astone,Homem,Jerônimo Pellegrini,Homem,1
Daniel P. Astone,Homem,Murilo B. Machado,Homem,1
Daniel P. Astone,Homem,Paulo R. de Sousa,Homem,1
Daniel P. Astone,Homem,Rodolfo S. Avelino,Homem,1
Daniel P. Astone,Homem,Sérgio Amadeu da Silveira,Homem,1
Davi Viana,Homem,Flávio E. A. Horita,Homem,1
Davi Viana,Homem,Francisco A. Silva,Homem,1
Davi Viana,Homem,Inaldo Costa,Homem,1
Davi Viana,Homem,Luis Rivero,Homem,1
Davi Viana,Homem,Mohamad Kassab,Homem,1
Davi Viana,Homem,Olavo Barbosa,Homem,1
Davi Viana,Homem,Rodrigo P. dos Santos,Homem,1
Davi Viana,Homem,Rodrigo Pereira dos Santos,Homem,1
Davi Viana,Homem,Tercio Sousa,Homem,1
Davi Viana,Homem,Valdemar V. Graciano Neto,Homem,1
Delano Maia,Homem,Emanuel Coutinho,Homem,1
Delano Maia,Homem,Wagner Braga Bezerra,Homem,1
Deógenes Silva Junior,Homem,Roberto Pereira,Homem,1
Edson Neto,Homem,Julio Furtado,Homem,1
Eduardo Figueiredo,Homem,Marina Gabriela do Amaral Santos,Mulher,1
Eduardo Figueiredo,Homem,Mauricio R de A Souza,Homem,1
Eduardo Santana de Almeida,Homem,John D. McGregor,Homem,1
Eduardo Santana de Almeida,Homem,Simone da Silva Amorin,Mulher,1
Elias Canhadas Gengivir,Homem,Luiz Gustavo Ferreira Aguiar,Homem,1
Elias Canhadas Gengivir,Homem,Rebeca Teodoro da Silva,Mulher,2
Elias Canhadas Gengivir,Homem,Rodrigo Pereira dos Santos,Homem,1
Elisa Huzita,Mulher,Giuseppe Portolese,Homem,1
Elisa Huzita,Mulher,Guilherme da Cruz,Homem,1
Elisa Huzita,Mulher,Valéria D. Feltrim,Mulher,1
Elisiane Monteiro Soares,Mulher,Melquizedeque Cabral dos Santos,Homem,1
Elisiane Monteiro Soares,Mulher,Sandro Ronaldo Bezerra Oliveira,Homem,1
Elmo de Faria,Homem,Eunice Nunes,Mulher,1
Elmo de Faria,Homem,Fernando Magalhães,Homem,1
Elmo de Faria,Homem,Jonas Boechat,Homem,1
Elmo de Faria,Homem,Luciana Borges,Mulher,1
Elmo de Faria,Homem,Otávio Dantas,Homem,1
Emanuel Coutinho,Homem,Ernesto Trajano,Homem,1
Emanuel Coutinho,Homem,Gabriel Paillard,Homem,1
Emanuel Coutinho,Homem,Italo Santos,Homem,1
Emanuel Coutinho,Homem,Italo de Oliveira,Homem,1
Emanuel Coutinho,Homem,Jerffeson Souza,Homem,1
Emanuel Coutinho,Homem,Leonardo Moreira,Homem,2
Emanuel Coutinho,Homem,Maurício Neto,Homem,1
Emanuel Coutinho,Homem,Wagner Braga Bezerra,Homem,1
Ernesto Trajano,Homem,Italo Santos,Homem,1
Ethan T. McGee,Homem,John D. McGregor,Homem,1
Ethan T. McGee,Homem,Laine Mears,Mulher,1
Ethan T. McGee,Homem,Matthew Krugh,Homem,1
Eunice Nunes,Mulher,Fernando Magalhães,Homem,1
Eunice Nunes,Mulher,Jonas Boechat,Homem,1
Eunice Nunes,Mulher,Luciana Borges,Mulher,1
Eunice Nunes,Mulher,Otávio Dantas,Homem,1
Everton Oliveira,Homem,Henrique Ferreira,Homem,1
Everton Oliveira,Homem,Joelson Araújo,Homem,1
Everton Oliveira,Homem,Patricia Moser,Mulher,1
Felipe Furtado,Homem,Hermano P. de Moura,Homem,1
Felipe Furtado,Homem,Ivaldir H. de Farias Junior,Homem,1
Felipe Furtado,Homem,Nelson G. de Sá Leitão Junior,Homem,1
Felipe Furtado,Homem,Rodrigo Santos,Homem,1
Felipe Furtado,Homem,Sabrina Marczak,Mulher,1
Fernando Magalhães,Homem,Jonas Boechat,Homem,1
Fernando Magalhães,Homem,Luciana Borges,Mulher,1
Fernando Magalhães,Homem,Otávio Dantas,Homem,1
Flavia Maria Santoro,Mulher,Glederson Santos,Homem,1
Flavia Maria Santoro,Mulher,Monica Anastassiu,Mulher,1
Flávio E. A. Horita,Homem,Mohamad Kassab,Homem,1
Flávio E. A. Horita,Homem,Rodrigo P. dos Santos,Homem,1
Flávio E. A. Horita,Homem,Valdemar V. Graciano Neto,Homem,1
Francisca Aparecida P. Pinto,Mulher,Henrique J. A. Holanda,Homem,1
Francisco A. Silva,Homem,Inaldo Costa,Homem,1
Francisco A. Silva,Homem,Luis Rivero,Homem,1
Francisco A. Silva,Homem,Tercio Sousa,Homem,1
Francisco Henrique Ferreira,Homem,Marcio Imamura,Homem,1
Francisco Henrique Ferreira,Homem,Rodrigo Pereira dos Santos,Homem,1
Frederico Severo Miranda,Homem,Paulo Cezar Stadzisz,Homem,1
Gabriel Paillard,Homem,Leonardo Moreira,Homem,1
Giuseppe Portolese,Homem,Guilherme da Cruz,Homem,1
Giuseppe Portolese,Homem,Valéria D. Feltrim,Mulher,1
Glederson Santos,Homem,Monica Anastassiu,Mulher,1
Guilherme da Cruz,Homem,Valéria D. Feltrim,Mulher,1
Gustavo Pinto,Homem,Leonardo Furtado,Homem,1
Heitor Costa,Homem,Paulo Afonso Pereira Junior,Homem,1
Henrique Ferreira,Homem,Joelson Araújo,Homem,1
Henrique Ferreira,Homem,Patricia Moser,Mulher,1
Hermano P. de Moura,Homem,Ivaldir H. de Farias Junior,Homem,1
Hermano P. de Moura,Homem,Nelson G. de Sá Leitão Junior,Homem,1
Hermano P. de Moura,Homem,Rodrigo Santos,Homem,1
Hermano P. de Moura,Homem,Sabrina Marczak,Mulher,1
Inaldo Costa,Homem,Luis Rivero,Homem,1
Inaldo Costa,Homem,Tercio Sousa,Homem,1
Ivaldir H. de Farias Junior,Homem,Jeferson Vieira,Homem,1
Ivaldir H. de Farias Junior,Homem,Nelson G. de Sá Leitão Junior,Homem,1
Ivaldir H. de Farias Junior,Homem,Rodrigo Santos,Homem,1
Ivaldir H. de Farias Junior,Homem,Sabrina Marczak,Mulher,1
Ivaldir H. de Farias Junior,Homem,Valéria Silva,Mulher,1
Jeferson Vieira,Homem,Valéria Silva,Mulher,1
Jerônimo Pellegrini,Homem,Murilo B. Machado,Homem,1
Jerônimo Pellegrini,Homem,Paulo R. de Sousa,Homem,1
Jerônimo Pellegrini,Homem,Rodolfo S. Avelino,Homem,1
Jerônimo Pellegrini,Homem,Sérgio Amadeu da Silveira,Homem,1
Joelson Araújo,Homem,Patricia Moser,Mulher,1
John D. McGregor,Homem,Laine Mears,Mulher,1
John D. McGregor,Homem,Matthew Krugh,Homem,1
John D. McGregor,Homem,Simone da Silva Amorin,Mulher,1
Jonas Boechat,Homem,Luciana Borges,Mulher,1
Jonas Boechat,Homem,Otávio Dantas,Homem,1
Jonice Oliveira,Mulher,Luiz Paulo Carvalho,Homem,1
Josiane Porto,Mulher,Tiago Lima,Homem,1
Josinaldo Pontes,Homem,José Adson Cunha,Homem,1
Josinaldo Pontes,Homem,Mirelly da Silva,Mulher,1
José Adson Cunha,Homem,Mirelly da Silva,Mulher,1
José Adson Oliveira Guedes da Cunha,Homem,José Jorge Lima Dias Jr.,Homem,1
José Junior,Homem,João Pimentel,Homem,1
José Junior,Homem,Maria Lencastre,Mulher,1
José Junior,Homem,Tainã Santos,Mulher,1
José Junior,Homem,Timóteo Silva,Homem,1
João Pimentel,Homem,Maria Lencastre,Mulher,1
João Pimentel,Homem,Tainã Santos,Mulher,1
João Pimentel,Homem,Timóteo Silva,Homem,1
Juliana Saraiva,Mulher,Vanessa Dantas,Mulher,1
Júllian Luz,Homem,Letycia Duarte,Mulher,1
Júllian Luz,Homem,Simone Los,Mulher,1
Júllian Luz,Homem,Tiago Nogueira,Homem,1
Laine Mears,Mulher,Matthew Krugh,Homem,1
Leonardo Gargano,Homem,Lucas Couto,Homem,1
Leonardo Gargano,Homem,Marcelo Fornazin,Homem,2
Leonardo Moreira,Homem,Maurício Neto,Homem,1
Leonardo Tizzei,Homem,Percival Lucena,Homem,1
Letycia Duarte,Mulher,Simone Los,Mulher,1
Letycia Duarte,Mulher,Tiago Nogueira,Homem,1
Lucas Couto,Homem,Marcelo Fornazin,Homem,1
Luciana Borges,Mulher,Otávio Dantas,Homem,1
Luciana Chueri,Mulher,Mariana Pinheiro,Mulher,1
Luciana Chueri,Mulher,Mateus Lambranho Ramos,Homem,1
Luciana Chueri,Mulher,Rodrigo Pereira dos Santos,Homem,1
Luis Rivero,Homem,Tercio Sousa,Homem,1
Luiz Gustavo Ferreira Aguiar,Homem,Rebeca Teodoro da Silva,Mulher,1
Luiz Gustavo Ferreira Aguiar,Homem,Rodrigo Pereira dos Santos,Homem,1
Marcio Imamura,Homem,Rodrigo Pereira dos Santos,Homem,1
Marco Almada,Homem,Romis Attux,Homem,1
Maria Lencastre,Mulher,Tainã Santos,Mulher,1
Maria Lencastre,Mulher,Timóteo Silva,Homem,1
Mariana Pinheiro,Mulher,Mateus Lambranho Ramos,Homem,1
Mariana Pinheiro,Mulher,Rodrigo Pereira dos Santos,Homem,1
Marina Gabriela do Amaral Santos,Mulher,Mauricio R de A Souza,Homem,1
Mateus Lambranho Ramos,Homem,Rodrigo Pereira dos Santos,Homem,1
Melquizedeque Cabral dos Santos,Homem,Sandro Ronaldo Bezerra Oliveira,Homem,1
Mohamad Kassab,Homem,Rodrigo P. dos Santos,Homem,1
Mohamad Kassab,Homem,Valdemar V. Graciano Neto,Homem,1
Murilo B. Machado,Homem,Paulo R. de Sousa,Homem,1
Murilo B. Machado,Homem,Rodolfo S. Avelino,Homem,1
Murilo B. Machado,Homem,Sérgio Amadeu da Silveira,Homem,1
Nelson G. de Sá Leitão Junior,Homem,Rodrigo Santos,Homem,1
Nelson G. de Sá Leitão Junior,Homem,Sabrina Marczak,Mulher,1
Olavo Barbosa,Homem,Rodrigo Pereira dos Santos,Homem,1
Paulo R. de Sousa,Homem,Rodolfo S. Avelino,Homem,1
Paulo R. de Sousa,Homem,Sérgio Amadeu da Silveira,Homem,1
Rebeca Teodoro da Silva,Mulher,Rodrigo Pereira dos Santos,Homem,1
Renata Marques Barros,Mulher,William Simão de Deus,Homem,1
Rodolfo S. Avelino,Homem,Sérgio Amadeu da Silveira,Homem,1
Rodrigo P. dos Santos,Homem,Valdemar V. Graciano Neto,Homem,1
Rodrigo Santos,Homem,Sabrina Marczak,Mulher,1
Simone Los,Mulher,Tiago Nogueira,Homem,1
Tainã Santos,Mulher,Timóteo Silva,Homem,1
