Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Adauto Filho,Homem,Bruno Santos,Homem,1
Adauto Filho,Homem,Franciely Souza,Mulher,1
Adauto Filho,Homem,Hugo Santos,Homem,1
Adauto Filho,Homem,Irandir Amorim,Homem,1
Adauto Filho,Homem,Maria Silva,Mulher,1
Adriana Nogueira,Mulher,Brenno Nascimento,Homem,1
Adriana Nogueira,Mulher,Felipe Silva,Homem,1
Adriana Nogueira,Mulher,Geraldo Braz Junior,Homem,1
Adriana Nogueira,Mulher,Italo Dovera,Homem,1
Adriana Nogueira,Mulher,Luis Rivero,Homem,1
Adriana Nogueira,Mulher,Matheus Bessa,Homem,1
Adriana Nogueira,Mulher,Rafael Gomes,Mulher,1
Adriana Paula Zamim Scherer,Mulher,Filipo Novo Mór,Homem,1
Adriane C. A. da Silva,Mulher,Luciano T. E. Pansanato,Homem,1
Adrianne Veras de Almeida,Mulher,Fabíola Pantoja O. Araujo,Mulher,2
Adrianne Veras de Almeida,Mulher,Giovanna de Melo Miranda,Mulher,1
Adriano Braga,Homem,Alexandre F. Lopes,Homem,2
Adriano Braga,Homem,Thalia S. Santana,Mulher,2
Adriano F. Borgatto,Homem,Christiane G. von Wangenheim,Mulher,1
Adriano F. Borgatto,Homem,Gustavo de Castro Salvador,Homem,1
Adriano F. Borgatto,Homem,Marcelo Fernando Rauber,Homem,1
Adriano Yasuda,Homem,Diego Hoss,Homem,1
Adriano Yasuda,Homem,Gil Andrade,Homem,1
Adriano Yasuda,Homem,Jonatas Nascimento,Homem,1
Adriano Yasuda,Homem,Josepher Silva,Homem,1
Adriano Yasuda,Homem,Levy Silva,Homem,1
Adriano Yasuda,Homem,Roberta Suero,Mulher,1
Adson Esteves,Homem,Aluizio Filho,Homem,1
Adson Esteves,Homem,André Raabe,Homem,1
Adson Esteves,Homem,Luiz Noschang,Homem,1
Adão Caron Cambraia,Homem,Lucas Tadeu Hinterholz,Homem,1
Adão Caron Cambraia,Homem,Márcia Adriana Rosmann,Mulher,1
Adão Caron Cambraia,Homem,Pietro Matheus Bompet Fontoura Alves,Homem,1
Adão Caron Cambraia,Homem,Wilk Oliveira,Homem,1
Afonso Sales,Homem,Fernando Bona,Homem,1
Afonso Sales,Homem,Nicolas Nascimento,Homem,1
Afonso Sales,Homem,Rafael Chanin,Homem,1
Afonso Serafim Jacinto,Homem,Francisco Petrônio A. Medeiros,Homem,1
Ageu Pacheco,Homem,Claudia Motta,Mulher,1
Ageu Pacheco,Homem,Daniel Menasch,Homem,1
Ageu Pacheco,Homem,Felipe Assis,Homem,1
Ageu Pacheco,Homem,Jefferson Simões,Homem,1
Ageu Pacheco,Homem,João Pinheiro,Homem,1
